FAUX;Ludwig Anton;Vieli;m;GR;CE;Centre;Membre;Conservateurs;1859-06-02;1858-07-06;
FAUX;Ludwig Anton;Vieli;m;GR;CE;Centre;Membre;Conservateurs;1852-12-02;1851-07-08;
FAUX;Josef;Vieli;m;GR;CE;Groupe conservateur-catholique;Membre;Conservateurs;1956-06-01;1939-01-30;
FAUX;Ludwig Anton;Vieli;m;GR;CE;Centre;Membre;Conservateurs;1864-06-02;1863-07-07;
FAUX;Ludwig Anton;Vieli;m;GR;CE;Centre;Membre;Conservateurs;1857-06-02;1856-07-08;
FAUX;Jos. Wilhelm V.;Vigier;m;SO;CE;Gauche démocratique;Membre;Parti radical-démocratique suisse;1886-03-19;1856-07-08;
FAUX;Wilhelm;Vigier;m;SO;CN;;Membre;Parti radical-démocratique suisse;1908-07-18;1886-06-08;
FAUX;Jos. Wilhelm V.;Vigier;m;SO;CE;;Président(e);Parti radical-démocratique suisse;1886-03-19;1856-07-08;
FAUX;Jos. Wilhelm V.;Vigier;m;SO;CE;;Président(e);Parti radical-démocratique suisse;1886-03-19;1856-07-08;
FAUX;Alberto;Vigizzi;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1927-06-27;1921-02-07;
FAUX;Arthur;Villard;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-06-01;1971-11-29;
FAUX;René;Villard;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1958-06-01;1955-12-05;
FAUX;Kaspar;Villiger;m;LU;CN;;;Parti radical-démocratique suisse;1987-11-29;1982-01-25;
FAUX;Kaspar;Villiger;m;LU;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1989-02-01;1987-11-30;
FAUX;Kaspar;Villiger;m;LU;CF;;;Parti radical-démocratique suisse;2003-12-31;1989-02-01;
FAUX;Jean;Vincent;m;GE;CN;;Membre;Parti suisse du Travail;1980-12-19;1947-12-01;
FAUX;Alfred-L.;Vincent;m;GE;CN;;Membre;Parti radical-démocratique suisse;1906-07-05;1896-12-08;
FAUX;Jean;Vincent;m;GE;CN;Groupe du Parti du travail;Membre;Parti suisse du Travail;1980-12-19;1947-12-01;
FAUX;Jean;Vincent;m;GE;CN;Groupe du Parti du travail;Membre;Parti suisse du Travail;1980-12-19;1947-12-01;
FAUX;Gion Clau;Vincenz;m;GR;CE;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1979-06-01;1968-06-04;
FAUX;Jacques-François;Viquerat;m;VD;CN;;Membre;Parti radical-démocratique suisse;1896-12-07;1883-06-19;
FAUX;P. Gustave;Virchaux;m;NE;CE;Gauche;Membre;Parti radical-démocratique suisse;1875-06-02;1874-07-02;
FAUX;Henri-Auguste;Viret;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1922-12-03;1919-12-01;
FAUX;Daniel;Vischer;m;ZH;CN;Groupe des Verts;Membre;Parti écologiste suisse;2007-12-02;2003-12-01;
FAUX;Daniel;Vischer;m;ZH;CN;Groupe des Verts;Membre;Parti écologiste suisse;2015-11-29;2011-12-05;
FAUX;Daniel;Vischer;m;ZH;CN;Groupe des Verts;Membre;Parti écologiste suisse;2011-12-04;2007-12-03;
FAUX;Karl;Vissaula;m;FR;CN;Gauche;Membre;Parti radical-démocratique suisse;1875-01-08;1872-12-03;
FAUX;Andreas;Vital;m;GR;CN;;Membre;Parti radical-démocratique suisse;1919-11-01;1899-12-05;
VRAI;Albert;Vitali;m;LU;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Albert;Vitali;m;LU;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
FAUX;Charles-G.-D.;Vittel;m;VD;CN;;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Antoine;Vodoz;m;VD;CN;Groupe libéral-démocratique;Membre;Parti libéral suisse;1945-06-14;1939-12-04;
FAUX;Daniel;Vogel;m;NE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1999-12-05;1995-12-04;
FAUX;Johann Rudolf;Vogel;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1869-12-06;1848-11-07;
FAUX;Fr. Salomon;Vögelin;m;ZH;CN;Gauche démocratique;Membre;Démocrates;1888-10-18;1875-12-07;
FAUX;Jakob J.;Vogelsanger;m;ZH;CN;;Membre;Parti socialiste suisse;1905-12-03;1890-12-02;
FAUX;Jakob J.;Vogelsanger;m;ZH;CN;Non inscrit;Membre;Parti socialiste suisse;1905-12-03;1890-12-02;
FAUX;Martin;Vogler;m;AG;CN;Gauche;Membre;Libéral;1892-05-02;1888-04-02;
FAUX;Karl;Vogler;m;OW;CN;Groupe PDC-PEV;Membre;Christlich-soziale Partei Obwalden;2015-11-29;2011-12-05;
VRAI;Karl;Vogler;m;OW;CN;Groupe PDC;Membre;Christlich-soziale Partei Obwalden;;2015-11-30;
FAUX;Carl-Ch.;Vogt;m;GE;CN;;Membre;Parti radical-démocratique suisse;1881-12-05;1878-12-03;
FAUX;Werner;Vogt;m;SO;CE;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1963-12-02;
FAUX;Carl-Ch.;Vogt;m;GE;CE;;Membre;Parti radical-démocratique suisse;1861-01-02;1856-12-28;
VRAI;Hans-Ueli;Vogt;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Carl-Ch.;Vogt;m;GE;CE;;Membre;Parti radical-démocratique suisse;1871-10-02;1870-12-06;
FAUX;Johann;Vögtle;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1939-12-03;1937-06-07;
FAUX;Jakob;Vollenweider;m;ZH;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1975-11-30;1963-12-02;
FAUX;Peter;Vollmer;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1989-11-27;
FAUX;Peter;Vollmer;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1995-12-04;
FAUX;Peter;Vollmer;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Giuseppe;Volonterio;m;TI;CN;;Membre;Conservateurs;1893-12-04;1890-12-02;
FAUX;Thomas;von Albertini;m;GR;CN;Centre;Membre;Libéral;1899-12-04;1893-12-05;
FAUX;Hansueli;von Allmen;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Fritz;von Almen;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-09-01;1935-12-02;
FAUX;Casimir;von Arx;m;SO;CE;;Membre;Parti radical-démocratique suisse;1922-12-03;1887-12-06;
FAUX;Adrian sen.;von Arx;m;SO;CN;;Membre;Parti radical-démocratique suisse;1917-12-02;1908-12-07;
FAUX;Kurt;von Arx;m;ZH;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1972-05-30;1969-11-24;
FAUX;Casimir;von Arx;m;SO;CE;;Membre;Parti radical-démocratique suisse;1922-12-03;1887-12-06;
FAUX;Bendicht;von Arx;m;SO;CN;Gauche;Membre;Grutléens;1875-05-19;1857-12-08;
FAUX;Adrian jun.;von Arx;m;SO;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1930-12-11;1919-12-01;
FAUX;Casimir;von Arx;m;SO;CE;;Président(e);Parti radical-démocratique suisse;1922-12-03;1887-12-06;
FAUX;Karl;von Blarer;m;BL;CN;Groupe conservateur-catholique;Membre;Conservateurs;1931-12-06;1928-12-03;
FAUX;Anton;von Blarer;m;BL;CE;Gauche;Membre;Parti radical-démocratique suisse;1864-06-22;1862-01-14;
FAUX;Otto R.;von Büren;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1884-12-01;1864-07-05;
FAUX;Albert;von der Aa;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1946-08-19;1943-12-06;
FAUX;Alfred;von der Weid;m;FR;CN;;Membre;Conservateurs;1872-12-02;1854-12-05;
FAUX;Margrith;von Felten;f;BS;CN;Groupe écologiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Margrith;von Felten;f;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Margrith;von Felten;f;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1991-11-25;
FAUX;Ludwig;von Fischer;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1851-12-01;1848-11-07;
FAUX;D. L. August;von Gonzenbach;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1875-12-06;1866-04-02;
FAUX;Karl Emil V.;von Gonzenbach;m;SG;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1884-12-01;1878-12-03;
FAUX;D. L. August;von Gonzenbach;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1860-12-03;1852-07-06;
FAUX;Alec;von Graffenried;m;BE;CN;Groupe des Verts;Membre;Parti écologiste suisse;2015-06-05;2011-12-05;
FAUX;Alec;von Graffenried;m;BE;CN;Groupe des Verts;Membre;Parti écologiste suisse;2011-12-04;2007-12-03;
FAUX;K. Wilhelm;von Graffenried;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1866-12-03;1863-12-08;
FAUX;Walo;von Greyerz;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1955-12-05;
FAUX;Joseph M.;von Hettlingen;m;SZ;CE;;Membre;Conservateurs;1873-10-02;1862-01-14;
FAUX;Anton;von Hettlingen;m;SZ;CN;;Membre;Conservateurs;1919-11-01;1908-12-07;
FAUX;Joseph M.;von Hettlingen;m;SZ;CE;;Membre;Conservateurs;1887-09-04;1874-12-08;
FAUX;Joseph Marzell;von Hoffmann;m;SG;CN;Centre;Membre;Parti radical-démocratique suisse;1866-12-03;1848-11-07;
FAUX;Peter;von Känel;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1866-12-03;1863-12-08;
FAUX;Hans jun.;von Matt;m;NW;CN;Groupe conservateur-catholique;Membre;Conservateurs;1932-03-22;1917-12-03;
FAUX;Hans sen.;von Matt;m;NW;CN;;Membre;Conservateurs;1896-12-07;1890-06-03;
FAUX;Ludwig;von Moos;m;OW;CF;;;Parti conservateur chrétien-social;1971-12-31;1959-12-17;
FAUX;Ludwig;von Moos;m;OW;CE;Groupe conservateur-catholique;Membre;Conservateurs;1959-12-17;1943-06-07;
FAUX;Alfred;von Planta;m;GR;CN;Groupe libéral démocrate;Membre;Föderaldemokratische Partei (GR);1914-12-06;1896-12-08;
FAUX;Andreas Rudolf;von Planta;m;GR;CN;Centre;Président(e);Libéral;1869-12-06;1848-11-07;
FAUX;Peter Conradin;von Planta;m;GR;CE;;Membre;Parti radical-démocratique suisse;1863-06-02;1862-07-08;
FAUX;Andreas Rudolf;von Planta;m;GR;CN;Centre;Membre;Libéral;1881-12-05;1876-12-05;
FAUX;Peter Conradin;von Planta;m;GR;CE;;Membre;Parti radical-démocratique suisse;1856-06-02;1856-01-22;
FAUX;Andreas Rudolf;von Planta;m;GR;CN;Centre;Membre;Libéral;1869-12-06;1848-11-07;
FAUX;Peter Conradin;von Planta;m;GR;CE;;Membre;Parti radical-démocratique suisse;1852-12-02;1852-07-06;
FAUX;Peter Conradin;von Planta;m;GR;CE;;Membre;Parti radical-démocratique suisse;1872-06-02;1864-07-05;
FAUX;Alfred;von Planta;m;GR;CN;Groupe libéral démocrate;Président(e);Föderaldemokratische Partei (GR);1914-12-06;1896-12-08;
FAUX;Andreas Rudolf;von Planta;m;GR;CN;Centre;Membre;Libéral;1869-12-06;1848-11-07;
FAUX;Peter Conradin;von Planta;m;GR;CN;;Membre;Parti radical-démocratique suisse;1857-12-07;1856-12-28;
FAUX;Rudolf;von Reding;m;SZ;CE;;Membre;Conservateurs;1911-12-03;1905-12-04;
FAUX;Nazar;von Reding;m;SZ;CE;Centre;Membre;Indéfinissable;1854-12-04;1853-07-05;
FAUX;Heinrich;von Roten;m;VS;CE;;Membre;Conservateurs;1916-12-18;1906-11-13;
FAUX;Leo Luzian;von Roten;m;VS;CE;;Membre;Conservateurs;1859-05-02;1857-07-07;
FAUX;Peter;von Roten;m;VS;CN;Groupe conservateur-catholique;Membre;Conservateurs;1951-12-02;1948-12-06;
FAUX;Hans Anton;von Roten;m;VS;CE;;Membre;Conservateurs;1865-05-02;1863-07-07;
FAUX;Hans Anton;von Roten;m;VS;CN;;Membre;Conservateurs;1895-01-11;1866-12-04;
FAUX;Heinrich;von Roten;m;VS;CN;;Membre;Conservateurs;1905-12-03;1904-03-01;
FAUX;Christoph;von Rotz;m;OW;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Joh. Gaudenz;von Salis;m;GR;CN;Gauche;Membre;Parti radical-démocratique suisse;1869-12-06;1860-12-04;
FAUX;Joh. Gaudenz;von Salis;m;GR;CE;Gauche;Membre;Parti radical-démocratique suisse;1860-12-03;1858-07-06;
FAUX;Joh. Gaudenz;von Salis;m;GR;CN;Gauche;Membre;Parti radical-démocratique suisse;1881-12-05;1875-12-07;
FAUX;Joh. Gaudenz;von Salis;m;GR;CE;Gauche;Membre;Parti radical-démocratique suisse;1855-08-02;1855-07-03;
FAUX;Karl;von Schmid;m;AG;CE;;Membre;Conservateurs;1864-05-02;1863-07-07;
FAUX;Karl;von Schmid;m;AG;CN;;Membre;Conservateurs;1887-12-05;1866-12-04;
FAUX;Karl;von Schorno;m;SZ;CE;;Membre;Conservateurs;1852-11-02;1848-11-07;
FAUX;Edmund;von Schumacher;m;LU;CE;;Membre;Conservateurs;1908-08-30;1895-12-03;
FAUX;Philipp Anton;von Segesser;m;LU;CN;;Membre;Conservateurs;1888-07-01;1848-11-07;
FAUX;Erich;von Siebenthal;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
VRAI;Erich;von Siebenthal;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Erich;von Siebenthal;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Hermann Jakob U.;von Sprecher;m;GR;CN;Centre;Membre;Föderaldemokratische Partei (GR);1883-04-02;1878-12-03;
FAUX;Hermann Jakob U.;von Sprecher;m;GR;CN;Centre;Membre;Föderaldemokratische Partei (GR);1875-05-02;1872-12-03;
FAUX;Johann Andreas;von Sprecher;m;GR;CN;Centre;Membre;Libéral;1860-12-03;1857-12-08;
FAUX;Johann Andreas;von Sprecher;m;GR;CE;Centre;Membre;Libéral;1854-07-02;1853-01-11;
FAUX;Johann Andreas;von Sprecher;m;GR;CE;Centre;Membre;Libéral;1861-06-02;1860-12-04;
FAUX;K. Fr. Edmund;von Steiger;m;BE;CN;Groupe libéral démocrate;Membre;Libéral;1908-02-26;1891-04-01;
FAUX;Eduard;von Steiger;m;BE;CF;;;Paysans, Artisans et Bourgeois;1951-12-31;1940-12-10;
FAUX;K. Fr. Edmund;von Steiger;m;BE;CN;Centre;Membre;Vereinigte Konservative (BE);1890-12-01;1888-04-02;
FAUX;Adolf A. A.;von Steiger;m;BE;CE;;Membre;Parti radical-démocratique suisse;1918-06-01;1908-09-28;
FAUX;Johann Baptist;von Streng;m;TG;CE;Gauche;Membre;Libéral;1850-05-02;1848-11-07;
FAUX;Johann Baptist;von Streng;m;TG;CN;Gauche;Membre;Libéral;1863-12-07;1854-12-05;
FAUX;Alfons;von Streng;m;TG;CN;;Membre;Conservateurs;1935-12-01;1904-12-05;
FAUX;Johann Anton;von Tillier;m;BE;CN;;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Johann Rudolf;von Toggenburg;m;GR;CN;;Membre;Conservateurs;1881-12-05;1861-07-02;
FAUX;Nikl. Friedrich;von Tschudi;m;SG;CE;Centre;Membre;Libéral;1885-11-02;1877-12-04;
FAUX;Eduard;von Waldkirch;m;BE;CN;Groupe républicain et national;Membre;Groupe républicain et national;1972-02-05;1971-11-29;
FAUX;Jean;von Wattenwyl;m;BE;CN;Groupe libéral démocrate;Membre;Libéral;1896-12-07;1895-12-03;
FAUX;Karl;von Weber;m;SZ;CN;Groupe conservateur-catholique;Membre;Conservateurs;1943-12-05;1925-03-16;
FAUX;Friedrich K. G.;von Werdt;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1881-12-05;1872-12-03;
FAUX;Hans;von Ziegler;m;SH;CE;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1865-06-02;1859-07-05;
VRAI;Beat;Vonlanthen;m;FR;CE;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Josef;Vonmatt;m;LU;CN;Gauche;Membre;Libéral;1894-10-12;1856-01-22;
FAUX;Carlo;Vonmentlen;m;TI;CN;;Membre;Conservateurs;1887-12-05;1872-12-03;
FAUX;Johann;Vonmoos;m;GR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1919-12-01;
FAUX;William;Vontobel;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1973-08-17;1950-12-04;
FAUX;William;Vontobel;m;ZH;CN;Groupe indépendant;Président(e);Alliance des Indépendants;1973-08-17;1950-12-04;
FAUX;William;Vontobel;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1973-08-17;1950-12-04;
FAUX;Eric;Voruz;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Eric;Voruz;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Abraham-N.;Vourloud;m;VD;CN;Centre;Membre;Indépendant;1878-12-02;1877-03-06;
FAUX;Emile;Vuichoud;m;VD;CN;;Membre;Parti libéral suisse;1906-07-25;1902-12-01;
FAUX;Ernest;Vuille;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1943-12-05;1939-12-04;
FAUX;Jules-J.-F.-M.;Vuy;m;GE;CE;;Membre;Parti radical-démocratique suisse;1859-12-02;1857-12-08;
FAUX;Jules-J.-F.-M.;Vuy;m;GE;CN;;Membre;Parti radical-démocratique suisse;1866-12-03;1863-12-08;
FAUX;Christian;Waber;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique Féderale;2009-08-31;2007-12-03;
FAUX;Christian;Waber;m;BE;CN;Groupe PEV/UDF;Président(e);Union Démocratique Féderale;2007-12-02;2003-12-01;
FAUX;Christian;Waber;m;BE;CN;Non inscrit;Membre;;1999-12-05;1997-06-02;
FAUX;Christian;Waber;m;BE;CN;Groupe évangélique et indépendant;Membre;Union Démocratique Féderale;2003-11-30;1999-12-06;
FAUX;Christian;Waber;m;BE;CN;Groupe PEV/UDF;Membre;Union Démocratique Féderale;2007-12-02;2003-12-01;
FAUX;Christian;Waber;m;BE;CN;Non inscrit;Membre;Union Démocratique Féderale;2009-08-31;2007-12-03;
FAUX;Rudolf Fr.;Wäffler;m;ZH;CN;Groupe libéral démocrate;Membre;Libéral;1866-12-03;1851-07-08;
FAUX;Markus;Wäfler;m;ZH;CN;Groupe PEV/UDF;Membre;Union Démocratique Féderale;2007-12-02;2003-12-01;
FAUX;Robert;Wagner;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1931-12-06;1928-12-03;
FAUX;Ernst;Wagner;m;SG;CN;;Membre;Parti radical-démocratique suisse;1919-11-01;1900-12-03;
FAUX;Paul;Wagner;m;BL;CN;Groupe socialiste;Membre;Parti socialiste suisse;1987-11-29;1963-12-02;
FAUX;Arnold;Wagner;m;NW;CN;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1943-12-06;
FAUX;Friedrich Traugott;Wahlen;m;ZH;CE;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1949-06-01;1942-09-21;
FAUX;Friedrich Traugott;Wahlen;m;BE;CF;;;Paysans, Artisans et Bourgeois;1965-12-31;1958-12-11;
FAUX;Hermann;Walder;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1943-12-05;1938-06-07;
FAUX;Jakob;Walder;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1915-02-23;1902-12-01;
FAUX;Fritz;Waldner;m;BL;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-09-01;1955-12-05;
FAUX;Traugott;Waldvogel;m;SH;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1930-12-24;1919-12-01;
FAUX;Erwin;Waldvogel;m;SH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1979-11-25;1970-03-02;
FAUX;Felix;Walker;m;SG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2006-12-03;2003-12-01;
FAUX;Ludwig;Walker;m;UR;CE;Groupe conservateur-catholique;Membre;Conservateurs;1947-11-30;1927-06-07;
FAUX;Felix;Walker;m;SG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2003-11-30;1999-12-06;
FAUX;Franz;Waller;m;AG;CN;Gauche;Membre;Libéral;1866-12-03;1849-11-13;
VRAI;Bruno;Walliser;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Eduard;Walser;m;GR;CN;;Membre;Parti radical-démocratique suisse;1928-12-02;1902-12-01;
FAUX;Ernst;Walter;m;ZH;CN;Groupe communiste;Membre;Parti communiste;1938-04-01;1936-06-09;
FAUX;Otto;Walter;m;SO;CN;Groupe conservateur-catholique;Membre;Conservateurs;1939-12-03;1925-12-07;
FAUX;Hansjörg;Walter;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Hansjörg;Walter;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
VRAI;Hansjörg;Walter;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Hansjörg;Walter;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Hansjörg;Walter;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Heinrich;Walther;m;LU;CN;;Membre;Conservateurs;1943-12-05;1908-09-29;
FAUX;Heinrich;Walther;m;LU;CN;Groupe conservateur-catholique;Membre;Conservateurs;1943-12-05;1908-09-29;
FAUX;Heinrich;Walther;m;LU;CN;Groupe conservateur-catholique;Président(e);Conservateurs;1943-12-05;1908-09-29;
FAUX;Beat;Walti;m;ZH;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2014-06-02;
VRAI;Beat;Walti;m;ZH;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Georg;Wander;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1946-02-01;1943-12-06;
FAUX;Hansruedi;Wandfluh;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Hansruedi;Wandfluh;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2014-12-31;2011-12-05;
FAUX;Hansruedi;Wandfluh;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Hansruedi;Wandfluh;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Samuel;Wanner;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1911-12-18;1902-12-01;
FAUX;Christian;Wanner;m;SO;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1983-11-28;
FAUX;Hermann;Wanner;m;SH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1970-02-01;1963-12-02;
FAUX;Anton;Wapf;m;LU;CN;Gauche;Membre;Libéral;1869-12-06;1863-12-08;
FAUX;Jakob Hermann;Wartmann;m;SG;CE;Gauche;Membre;Libéral;1886-06-02;1885-12-08;
FAUX;Rudolf;Wartmann;m;AG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1971-11-28;1961-12-18;
FAUX;Otto;Wartmann;m;TG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1959-01-17;1935-12-02;
FAUX;Christian;Wasserfallen;m;BE;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
VRAI;Christian;Wasserfallen;m;BE;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Kurt;Wasserfallen;m;BE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2006-12-02;2003-12-01;
FAUX;Christian;Wasserfallen;m;BE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Kurt;Wasserfallen;m;BE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1999-12-06;
FAUX;Johann;Wattenhofer;m;SZ;CN;Groupe socialiste;Membre;Parti socialiste suisse;1928-12-02;1925-12-07;
FAUX;Agnes;Weber;f;AG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Monika;Weber;f;ZH;CN;Groupe indépendant et évangelique;Membre;Alliance des Indépendants;1987-11-29;1982-11-29;
FAUX;Werner J.;Weber;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1912-01-10;1911-12-04;
FAUX;Ernst;Weber;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1963-12-02;
FAUX;Johann;Weber;m;BE;CE;Gauche;Président(e);Démocrate puis radical;1875-12-06;1868-12-08;
FAUX;Jakob Rudolf;Weber;m;BE;CE;Groupe des Paysans, Artisans et Bourgeois;Président(e);Paysans, Artisans et Bourgeois;1957-12-01;1935-12-02;
FAUX;Jakob Rudolf;Weber;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1935-12-01;1919-12-01;
FAUX;Rolf;Weber;m;TG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1987-11-29;1970-03-02;
FAUX;Max;Weber;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1951-12-02;1939-12-04;
FAUX;Walter;Weber;m;SO;CE;Groupe socialiste;Membre;Parti socialiste suisse;1987-11-29;1971-11-29;
FAUX;Alwin;Weber;m;AG;CN;;Membre;Parti radical-démocratique suisse;1919-02-26;1908-12-07;
FAUX;Jost;Weber;m;LU;CE;Centre;Membre;Conservateur puis libéral;1867-06-02;1860-01-10;
FAUX;Heinrich Otto;Weber;m;SG;CN;;Membre;Démocrates;1928-12-02;1911-09-25;
FAUX;Johann;Weber;m;BE;CN;Gauche;Membre;Démocrate puis radical;1868-12-02;1860-12-04;
FAUX;Leo;Weber;m;AG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1987-11-29;1975-12-01;
FAUX;Leo Jos.;Weber;m;SO;CN;Gauche;Membre;Libéral;1881-12-05;1875-03-09;
