VRAI;Adrian;Amstutz;m;BE;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;;2015-11-30;
FAUX;Adrian;Amstutz;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Jean-Louis;Ancrenaz;m;VD;CN;Gauche;Membre;Parti radical-démocratique suisse;1866-12-03;1857-12-08;
FAUX;Johann Georg;Anderegg;m;SG;CN;Centre;Membre;Libéral;1856-05-22;1848-11-07;
FAUX;Emil;Anderegg;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1943-12-06;
FAUX;Georg Friedrich;Anderegg;m;SG;CN;Centre;Membre;Libéral;1875-12-06;1863-12-08;
FAUX;Josef;Andermatt;m;ZG;CE;Groupe conservateur-catholique;Président(e);Conservateurs;1930-06-12;1913-09-29;
FAUX;Josef;Andermatt;m;ZG;CE;Groupe conservateur-catholique;Membre;Conservateurs;1930-06-12;1913-09-29;
FAUX;Josef;Andermatt;m;ZG;CE;Groupe conservateur-catholique;Membre;Conservateurs;1930-06-12;1913-09-29;
FAUX;Othmar;Andermatt;m;ZG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1986-12-01;1971-01-25;
FAUX;Jos. Fridolin;Anderwert;m;TG;CN;Gauche démocratique;Membre;Démocrates;1874-10-02;1863-12-08;
FAUX;Jos. Fridolin;Anderwert;m;TG;CN;Gauche démocratique;Membre;Démocrates;1874-10-02;1863-12-08;
FAUX;Jos. Fridolin;Anderwert;m;TG;CF;;;Démocrates;1880-12-26;1875-12-11;
FAUX;Jos. Fridolin;Anderwert;m;TG;CN;Gauche démocratique;Président(e);Démocrates;1874-10-02;1863-12-08;
FAUX;Paul;André;m;VD;CN;;Membre;Parti radical-démocratique suisse;1881-12-05;1878-12-03;
FAUX;Paul;Andres;m;BE;CN;Groupe indépendant;Membre;Alliance des Indépendants;1943-12-05;1941-03-25;
FAUX;Henri;Anet;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-11-30;1946-06-04;
FAUX;Ernst;Anliker;m;BE;CN;Non inscrit;Membre;Jeunes paysans;1943-12-05;1935-12-02;
FAUX;Ernst;Anliker;m;BE;CN;Groupe démocrate;Membre;Jeunes paysans;1943-12-05;1935-12-02;
